file,condition,neutral,happy,sad,angry
NV_1.wav,No Vibrato,0.27440735697746277,0.4944499135017395,0.19956280291080475,0.03157982975244522
NV_10.wav,No Vibrato,0.1850879043340683,0.6474993824958801,0.1581430584192276,0.009269663132727146
NV_11.wav,No Vibrato,0.22035257518291473,0.6597195863723755,0.11001306027173996,0.009914803318679333
NV_12.wav,No Vibrato,0.2898053228855133,0.4554057717323303,0.24629293382167816,0.008495943620800972
NV_13.wav,No Vibrato,0.19783030450344086,0.65647953748703,0.12946175038814545,0.016228388994932175
NV_14.wav,No Vibrato,0.3614638149738312,0.37256118655204773,0.2558176517486572,0.010157322511076927
NV_15.wav,No Vibrato,0.19389067590236664,0.6893385052680969,0.10734811425209045,0.009422684088349342
NV_2.wav,No Vibrato,0.3089463710784912,0.20975559949874878,0.47448885440826416,0.00680917501449585
NV_3.wav,No Vibrato,0.22127649188041687,0.38890451192855835,0.36575329303741455,0.024065708741545677
NV_4.wav,No Vibrato,0.2882181704044342,0.4139466881752014,0.28985193371772766,0.007983180694282055
NV_5.wav,No Vibrato,0.24949370324611664,0.5638592839241028,0.176301047205925,0.010346014983952045
NV_6.wav,No Vibrato,0.14076796174049377,0.5735317468643188,0.26130160689353943,0.024398697540163994
NV_7.wav,No Vibrato,0.37629449367523193,0.30110353231430054,0.30802226066589355,0.01457977294921875
NV_8.wav,No Vibrato,0.1861075460910797,0.7047905921936035,0.09411835670471191,0.014983565546572208
NV_9.wav,No Vibrato,0.23093141615390778,0.645997166633606,0.07764119654893875,0.045430202037096024
V_1.wav,Vibrato,0.32804441452026367,0.3799480199813843,0.28269723057746887,0.009310318157076836
V_10.wav,Vibrato,0.23401516675949097,0.5513278245925903,0.20885306596755981,0.00580397667363286
V_11.wav,Vibrato,0.34806641936302185,0.24288718402385712,0.39152243733406067,0.017523961141705513
V_12.wav,Vibrato,0.3465607762336731,0.3543473482131958,0.2735724151134491,0.025519467890262604
V_13.wav,Vibrato,0.2518038749694824,0.5968288779258728,0.1480548232793808,0.003312397049739957
V_14.wav,Vibrato,0.38558003306388855,0.23616214096546173,0.36015620827674866,0.018101707100868225
V_15.wav,Vibrato,0.19469301402568817,0.2730705738067627,0.43364277482032776,0.09859361499547958
V_2.wav,Vibrato,0.36065563559532166,0.5258929133415222,0.09612259268760681,0.017328856512904167
V_3.wav,Vibrato,0.2235703021287918,0.6298584342002869,0.13606393337249756,0.01050733495503664
V_4.wav,Vibrato,0.3507148325443268,0.334771990776062,0.29645371437072754,0.01805937848985195
V_5.wav,Vibrato,0.318488746881485,0.36472299695014954,0.3050847351551056,0.011703494004905224
V_6.wav,Vibrato,0.29221853613853455,0.28196147084236145,0.4130886495113373,0.012731308117508888
V_7.wav,Vibrato,0.40663737058639526,0.28910309076309204,0.28864166140556335,0.015617904253304005
V_8.wav,Vibrato,0.2696927487850189,0.34457898139953613,0.363340824842453,0.02238740585744381
V_9.wav,Vibrato,0.2634193003177643,0.2819509506225586,0.4384763240814209,0.01615351252257824
