file,condition,arousal,valence,dominance
NV_1.wav,No Vibrato,0.016514653339982033,-0.006429966539144516,0.014348428696393967
NV_10.wav,No Vibrato,0.018637044355273247,-0.0053994422778487206,0.008358840830624104
NV_11.wav,No Vibrato,0.026411501690745354,-0.0006085662171244621,0.010476826690137386
NV_12.wav,No Vibrato,0.012488662265241146,3.419630229473114e-05,0.025204531848430634
NV_13.wav,No Vibrato,0.013703088276088238,-0.007500036153942347,0.013437293469905853
NV_14.wav,No Vibrato,0.015648934990167618,0.0023290803655982018,0.01299406960606575
NV_15.wav,No Vibrato,0.0320301428437233,0.00016254372894763947,0.001004156656563282
NV_2.wav,No Vibrato,0.01843453198671341,-0.0032171886414289474,0.016400886699557304
NV_3.wav,No Vibrato,0.015096284449100494,-0.0032881489023566246,0.011081444099545479
NV_4.wav,No Vibrato,0.00772550143301487,-0.0052416082471609116,0.019926967099308968
NV_5.wav,No Vibrato,0.03743728622794151,-0.0018686847761273384,0.0011081448756158352
NV_6.wav,No Vibrato,0.023895641788840294,-0.00493769533932209,0.02258976176381111
NV_7.wav,No Vibrato,0.024218518286943436,-0.007984939962625504,0.025449424982070923
NV_8.wav,No Vibrato,0.0312185175716877,-0.002507327124476433,0.010118231177330017
NV_9.wav,No Vibrato,0.013625730760395527,-0.006979296915233135,0.01306596864014864
V_1.wav,Vibrato,0.020569676533341408,-0.0026607410982251167,0.01357975509017706
V_10.wav,Vibrato,0.022584419697523117,0.01071586087346077,0.011122781783342361
V_11.wav,Vibrato,0.023286258801817894,-0.015795230865478516,0.02789091318845749
V_12.wav,Vibrato,0.014897651970386505,-0.006364688277244568,0.021873686462640762
V_13.wav,Vibrato,0.030634209513664246,0.007409930229187012,-0.006017102859914303
V_14.wav,Vibrato,0.01492043025791645,-0.008089140057563782,0.011576167307794094
V_15.wav,Vibrato,0.031101012602448463,-0.0024494100362062454,0.0317106731235981
V_2.wav,Vibrato,0.0295536071062088,-0.0021774135529994965,0.013485321775078773
V_3.wav,Vibrato,0.02641766518354416,-0.00501666497439146,0.013588792644441128
V_4.wav,Vibrato,0.02493959106504917,-0.0033302735537290573,0.01979132741689682
V_5.wav,Vibrato,0.03149162605404854,-0.0025225020945072174,0.029921574518084526
V_6.wav,Vibrato,0.020893696695566177,-0.005551541224122047,0.021953780204057693
V_7.wav,Vibrato,0.02558767795562744,-0.00276096910238266,0.03043464757502079
V_8.wav,Vibrato,0.01963748224079609,-0.011316413059830666,0.02273189276456833
V_9.wav,Vibrato,0.022282389923930168,-0.008932484313845634,0.0179433636367321
