file,condition,arousal,valence,dominance
NV_1.m4a,No Vibrato,0.3315192759037018,0.33513814210891724,0.333342581987381
NV_10.m4a,No Vibrato,0.3271644413471222,0.33909872174263,0.3337368071079254
NV_11.m4a,No Vibrato,0.3309350907802582,0.33784592151641846,0.33121898770332336
NV_12.m4a,No Vibrato,0.32888683676719666,0.33721253275871277,0.3339006006717682
NV_13.m4a,No Vibrato,0.329601526260376,0.338137686252594,0.33226078748703003
NV_14.m4a,No Vibrato,0.32927921414375305,0.3351089060306549,0.33561190962791443
NV_15.m4a,No Vibrato,0.3306579887866974,0.337117463350296,0.3322245478630066
NV_2.m4a,No Vibrato,0.33150938153266907,0.3367827832698822,0.33170780539512634
NV_3.m4a,No Vibrato,0.3314976096153259,0.33538806438446045,0.3331143856048584
NV_4.m4a,No Vibrato,0.3311007022857666,0.3359277844429016,0.3329715430736542
NV_5.m4a,No Vibrato,0.3302045464515686,0.335749089717865,0.33404630422592163
NV_6.m4a,No Vibrato,0.33069658279418945,0.33580929040908813,0.3334941565990448
NV_7.m4a,No Vibrato,0.33125007152557373,0.33544042706489563,0.33330950140953064
NV_8.m4a,No Vibrato,0.3302115797996521,0.3350224792957306,0.33476588129997253
NV_9.m4a,No Vibrato,0.33123600482940674,0.3355204164981842,0.33324360847473145
V_1.m4a,Vibrato,0.3298778533935547,0.33720582723617554,0.3329162895679474
V_10.m4a,Vibrato,0.3330419361591339,0.33428335189819336,0.33267468214035034
V_11.m4a,Vibrato,0.33157792687416077,0.33622774481773376,0.3321942985057831
V_12.m4a,Vibrato,0.3322940170764923,0.3361676037311554,0.3315384089946747
V_13.m4a,Vibrato,0.33107277750968933,0.3363359272480011,0.33259135484695435
V_14.m4a,Vibrato,0.3314092755317688,0.3362293541431427,0.3323613405227661
V_15.m4a,Vibrato,0.329780250787735,0.33840951323509216,0.33181026577949524
V_2.m4a,Vibrato,0.33117756247520447,0.3369161784648895,0.3319062292575836
V_3.m4a,Vibrato,0.3313139081001282,0.3356204330921173,0.3330656588077545
V_4.m4a,Vibrato,0.33151447772979736,0.3361092507839203,0.33237624168395996
V_5.m4a,Vibrato,0.330914705991745,0.33509790897369385,0.33398738503456116
V_6.m4a,Vibrato,0.3284798860549927,0.33834412693977356,0.3331759572029114
V_7.m4a,Vibrato,0.3317670226097107,0.33803293108940125,0.33020010590553284
V_8.m4a,Vibrato,0.331230103969574,0.33830878138542175,0.3304611146450043
V_9.m4a,Vibrato,0.3307996690273285,0.3363548517227173,0.3328455090522766
