file,condition,arousal,valence,dominance,neutral,happy,sad,angry
NV_1.wav,No Vibrato,0.016514653339982,-0.0064299665391445,0.0143484286963939,0.2744073569774627,0.4944499135017395,0.1995628029108047,0.0315798297524452
NV_10.wav,No Vibrato,0.0186370443552732,-0.0053994422778487,0.0083588408306241,0.1850879043340683,0.6474993824958801,0.1581430584192276,0.0092696631327271
NV_11.wav,No Vibrato,0.0264115016907453,-0.0006085662171244,0.0104768266901373,0.2203525751829147,0.6597195863723755,0.1100130602717399,0.0099148033186793
NV_12.wav,No Vibrato,0.0124886622652411,3.419630229473114e-05,0.0252045318484306,0.2898053228855133,0.4554057717323303,0.2462929338216781,0.0084959436208009
NV_13.wav,No Vibrato,0.0137030882760882,-0.0075000361539423,0.0134372934699058,0.1978303045034408,0.65647953748703,0.1294617503881454,0.0162283889949321
NV_14.wav,No Vibrato,0.0156489349901676,0.0023290803655982,0.0129940696060657,0.3614638149738312,0.3725611865520477,0.2558176517486572,0.0101573225110769
NV_15.wav,No Vibrato,0.0320301428437233,0.0001625437289476,0.0010041566565632,0.1938906759023666,0.6893385052680969,0.1073481142520904,0.0094226840883493
NV_2.wav,No Vibrato,0.0184345319867134,-0.0032171886414289,0.0164008866995573,0.3089463710784912,0.2097555994987487,0.4744888544082641,0.0068091750144958
NV_3.wav,No Vibrato,0.0150962844491004,-0.0032881489023566,0.0110814440995454,0.2212764918804168,0.3889045119285583,0.3657532930374145,0.0240657087415456
NV_4.wav,No Vibrato,0.0077255014330148,-0.0052416082471609,0.0199269670993089,0.2882181704044342,0.4139466881752014,0.2898519337177276,0.007983180694282
NV_5.wav,No Vibrato,0.0374372862279415,-0.0018686847761273,0.0011081448756158,0.2494937032461166,0.5638592839241028,0.176301047205925,0.010346014983952
NV_6.wav,No Vibrato,0.0238956417888402,-0.004937695339322,0.0225897617638111,0.1407679617404937,0.5735317468643188,0.2613016068935394,0.0243986975401639
NV_7.wav,No Vibrato,0.0242185182869434,-0.0079849399626255,0.0254494249820709,0.3762944936752319,0.3011035323143005,0.3080222606658935,0.0145797729492187
NV_8.wav,No Vibrato,0.0312185175716877,-0.0025073271244764,0.01011823117733,0.1861075460910797,0.7047905921936035,0.0941183567047119,0.0149835655465722
NV_9.wav,No Vibrato,0.0136257307603955,-0.0069792969152331,0.0130659686401486,0.2309314161539077,0.645997166633606,0.0776411965489387,0.045430202037096
V_1.wav,Vibrato,0.0205696765333414,-0.0026607410982251,0.013579755090177,0.3280444145202636,0.3799480199813843,0.2826972305774688,0.0093103181570768
V_10.wav,Vibrato,0.0225844196975231,0.0107158608734607,0.0111227817833423,0.2340151667594909,0.5513278245925903,0.2088530659675598,0.0058039766736328
V_11.wav,Vibrato,0.0232862588018178,-0.0157952308654785,0.0278909131884574,0.3480664193630218,0.2428871840238571,0.3915224373340606,0.0175239611417055
V_12.wav,Vibrato,0.0148976519703865,-0.0063646882772445,0.0218736864626407,0.3465607762336731,0.3543473482131958,0.2735724151134491,0.0255194678902626
V_13.wav,Vibrato,0.0306342095136642,0.007409930229187,-0.0060171028599143,0.2518038749694824,0.5968288779258728,0.1480548232793808,0.0033123970497399
V_14.wav,Vibrato,0.0149204302579164,-0.0080891400575637,0.011576167307794,0.3855800330638885,0.2361621409654617,0.3601562082767486,0.0181017071008682
V_15.wav,Vibrato,0.0311010126024484,-0.0024494100362062,0.0317106731235981,0.1946930140256881,0.2730705738067627,0.4336427748203277,0.0985936149954795
V_2.wav,Vibrato,0.0295536071062088,-0.0021774135529994,0.0134853217750787,0.3606556355953216,0.5258929133415222,0.0961225926876068,0.0173288565129041
V_3.wav,Vibrato,0.0264176651835441,-0.0050166649743914,0.0135887926444411,0.2235703021287918,0.6298584342002869,0.1360639333724975,0.0105073349550366
V_4.wav,Vibrato,0.0249395910650491,-0.003330273553729,0.0197913274168968,0.3507148325443268,0.334771990776062,0.2964537143707275,0.0180593784898519
V_5.wav,Vibrato,0.0314916260540485,-0.0025225020945072,0.0299215745180845,0.318488746881485,0.3647229969501495,0.3050847351551056,0.0117034940049052
V_6.wav,Vibrato,0.0208936966955661,-0.005551541224122,0.0219537802040576,0.2922185361385345,0.2819614708423614,0.4130886495113373,0.0127313081175088
V_7.wav,Vibrato,0.0255876779556274,-0.0027609691023826,0.0304346475750207,0.4066373705863952,0.289103090763092,0.2886416614055633,0.015617904253304
V_8.wav,Vibrato,0.019637482240796,-0.0113164130598306,0.0227318927645683,0.2696927487850189,0.3445789813995361,0.363340824842453,0.0223874058574438
V_9.wav,Vibrato,0.0222823899239301,-0.0089324843138456,0.0179433636367321,0.2634193003177643,0.2819509506225586,0.4384763240814209,0.0161535125225782
